,Pre-owned software,Boxed software,Digital console and PC,Mobile gaming,Console hardware,PC game hardware,Console game accessories,VR hardware,Toys & merchandising,Books & magazines,"Film, TV & soundtracks",Events & venues,Streaming & gamine video content
2011,,"1,420",520,158,646,,453,,60,,7.50,2.20,
2012,,"1,045",655,234,454,,418,,77,,7.20,2.40,
2013,96.40,998,981,452,626,,276,,80,13,6.90,2.80,
2014,112.50,935,"1,081",548,915,,288,,69,23,5.40,5.50,
2015,123,904,"1,224",664,689,138,360,,62.30,16.30,6.90,62,
2016,119,766.70,"1,220",995.10,507.50,258,300.10,61.30,66.80,18.40,7.80,7.50,
2017,101,790,"1,600","1,070",659,376,296,101,72.90,18,17.60,8.40,
2018,68,770,"1,965","1,126",702,442,355,74.80,63.60,17.80,23.60,8.90,
2019,55,603,"1,982","1,213",488,469,331,100,94.20,13.90,29.50,8.80,
2020,42.60,646,"1,369","1,500",853,823,453,129,119.60,10.50,22.90,0.25,
2021,33.80,511,"2,170","1,460","1,130",881,464,183,159,11.80,3.98,1.04,49.80
